division,index,icclub_home,icclub_visit,idnumber_home,idnumber_visit,result,overruled
1,,607,621,13815,12336,1-0,NOR
1,,607,621,95281,12330,0-1,NOR
1,,607,621,27455,91308,1-0,NOR
1,,607,621,94269,13604,½-½,NOR
1,,607,621,14131,91367,1-0,NOR
1,,607,621,98574,61891,½-½,NOR
1,,607,621,345,19730,1-0,NOR
1,,607,621,20214,24840,1-0,NOR
1,,109,166,29367,17626,½-½,NOR
1,,109,166,18066,17529,½-½,NOR
1,,109,166,14209,11532,0-1,NOR
1,,109,166,24758,56863,0-1,NOR
1,,109,166,15742,17532,½-½,NOR
1,,109,166,12899,50482,½-½,NOR
1,,109,166,11501,12424,½-½,NOR
1,,109,166,26499,28045,½-½,NOR
1,,432,239,19800,24939,1-0,NOR
1,,432,239,49921,62359,½-½,NOR
1,,432,239,10832,22636,1-0,NOR
1,,432,239,10464,20540,0-1,NOR
1,,432,239,13376,80403,1-0,NOR
1,,432,239,50086,13477,1-0,NOR
1,,432,239,4847,86495,½-½,NOR
1,,432,239,21345,20846,1-0,NOR
1,,401,230,19637,29141,½-½,NOR
1,,401,230,15615,24765,1-0,NOR
1,,401,230,16396,23108,½-½,NOR
1,,401,230,15625,15269,0-1,NOR
1,,401,230,16868,6084,½-½,NOR
1,,401,230,44504,16365,1-0,NOR
1,,401,230,17843,32328,½-½,NOR
1,,401,230,35572,29235,0-1,NOR
1,,301,303,27343,25836,1-0,NOR
1,,301,303,28436,35181,0-1,NOR
1,,301,303,28908,10391,0-1,NOR
1,,301,303,1759,10270,0-1,NOR
1,,301,303,43648,51861,0-1,NOR
1,,301,303,55999,16017,½-½,NOR
1,,301,303,76368,3735,1-0,NOR
1,,301,303,87513,19360,0-1,NOR
1,,601,471,71757,49301,½-½,NOR
1,,601,471,10483,29368,0-1,NOR
1,,601,471,3003,24764,½-½,NOR
1,,601,471,39012,23134,0-1,NOR
1,,601,471,26836,17438,0-1,NOR
1,,601,471,14450,14781,½-½,NOR
1,,601,471,73270,19646,½-½,NOR
1,,601,471,29113,29152,1-0,NOR
2,A,501,607,67008,26943,1-0,NOR
2,A,501,607,22966,21275,0-1,NOR
2,A,501,607,87408,98817,½-½,NOR
2,A,501,607,25749,95206,½-½,NOR
2,A,501,607,54810,21226,0-1,NOR
2,A,501,607,79120,24874,0-1,NOR
2,A,501,607,82635,17012,1-0,NOR
2,A,501,607,70734,15454,½-½,NOR
2,A,952,514,19430,73296,0-1,NOR
2,A,952,514,17648,70823,1-0,NOR
2,A,952,514,12756,80209,½-½,NOR
2,A,952,514,87921,50244,1-0,NOR
2,A,952,514,23003,89711,½-½,NOR
2,A,952,514,18802,23285,0-1,NOR
2,A,952,514,84255,61069,0-1,NOR
2,A,952,514,46710,81981,0-1,NOR
2,A,226,901,17715,50211,1-0,NOR
2,A,226,901,12054,66150,1-0,NOR
2,A,226,901,95672,63011,1-0,NOR
2,A,226,901,17595,50474,½-½,NOR
2,A,226,901,26343,16068,1-0,NOR
2,A,226,901,10739,17189,½-½,NOR
2,A,226,901,18047,86215,1-0,NOR
2,A,226,901,18072,77950,1-0,NOR
2,A,401,209,14606,12255,½-½,NOR
2,A,401,209,15179,79197,½-½,NOR
2,A,401,209,34380,29210,0-1,NOR
2,A,401,209,17183,24731,0-1,NOR
2,A,401,209,14495,1686,1-0,NOR
2,A,401,209,9156,12278,0-1,NOR
2,A,401,209,14603,841,1-0,NOR
2,A,401,209,31755,67032,½-½,NOR
2,A,462,231,11118,57533,1-0,NOR
2,A,462,231,14086,10942,0-1,NOR
2,A,462,231,14078,17116,0-1,NOR
2,A,462,231,11789,13707,0-1,NOR
2,A,462,231,4936,15850,1-0,NOR
2,A,462,231,15032,10546,0-1,NOR
2,A,462,231,25933,30775,½-½,NOR
2,A,462,231,6467,15556,½-½,NOR
2,A,201,548,61981,27001,0-1,NOR
2,A,201,548,92495,27124,0-1,NOR
2,A,201,548,31267,12802,0-1,NOR
2,A,201,548,9245,66770,½-½,NOR
2,A,201,548,20183,27274,0-1,NOR
2,A,201,548,40878,14400,½-½,NOR
2,A,201,548,71919,29409,0-1,NOR
2,A,201,548,98689,90883,0-1,NOR
2,B,124,436,13668,22543,½-½,NOR
2,B,124,436,69329,14279,0-1,NOR
2,B,124,436,25763,10816,½-½,NOR
2,B,124,436,1104,14625,½-½,NOR
2,B,124,436,21174,31160,1-0,NOR
2,B,124,436,14354,33570,0-1,NOR
2,B,124,436,23532,38253,½-½,NOR
2,B,124,436,6858,10967,1-0,NOR
2,B,109,472,6602,14108,0-1,NOR
2,B,109,472,52507,10184,1-0,NOR
2,B,109,472,3131,16179,½-½,NOR
2,B,109,472,37796,30732,½-½,NOR
2,B,109,472,20818,40568,½-½,NOR
2,B,109,472,39101,11400,½-½,NOR
2,B,109,472,50873,52361,0-1,NOR
2,B,109,472,28606,17780,1-0,NOR
2,B,432,401,10634,21132,0-1,NOR
2,B,432,401,10670,1864,0-1,NOR
2,B,432,401,20531,19720,1-0,NOR
2,B,432,401,50881,24999,1-0,NOR
2,B,432,401,9253,5827,1-0,NOR
2,B,432,401,22643,6815,½-½,NOR
2,B,432,401,42391,59544,½-½,NOR
2,B,432,401,11132,24922,0-1,NOR
2,B,261,176,25615,1031,½-½,NOR
