division,index,pairingnr,idclub,team,Input
1,,1,607,KSK Rochade 1,607 KSK Rochade 1
1,,2,109,Borgerhout 1,109 Borgerhout 1
1,,3,432,Wetteren 1,432 Wetteren 1
1,,4,401,KGSRL 1,401 KGSRL 1
1,,5,301,KOSK 1,301 KOSK 1
1,,6,601,CRELEL 1,601 CRELEL 1
1,,7,471,Pluspion Wachtebeke 1,471 Pluspion Wachtebeke 1
1,,8,303,KBSK Brugge 1,303 KBSK Brugge 1
1,,9,230,Leuven Centraal 1,230 Leuven Centraal 1
1,,10,239,Boitsfort 1,239 Boitsfort 1
1,,11,166,TSM Mechelen 1,166 TSM Mechelen 1
1,,12,621,T.A.L 1,621 T.A.L 1
2,A,1,501,CREC Charleroi 1,501 CREC Charleroi 1
2,A,2,952,Wavre 1,952 Wavre 1
2,A,3,226,Europchess 1,226 Europchess 1
2,A,4,401,KGSRL 2,401 KGSRL 2
2,A,5,462,Zottegem 1,462 Zottegem 1
2,A,6,201,CREB Bruxelles 1,201 CREB Bruxelles 1
2,A,7,548,Caïssa Europe 1,548 Caïssa Europe 1
2,A,8,231,Dolle Toren Leuven 1,231 Dolle Toren Leuven 1
2,A,9,209,The Belgian CC 1,209 The Belgian CC 1
2,A,10,901,Namur Echecs 1,901 Namur Echecs 1
2,A,11,514,Monti'Chess Club 1,514 Monti'Chess Club 1
2,A,12,607,KSK Rochade 2,607 KSK Rochade 2
2,B,1,124,Deurne 1,124 Deurne 1
2,B,2,109,Borgerhout 2,109 Borgerhout 2
2,B,3,432,Wetteren 2,432 Wetteren 2
2,B,4,261,Gambiet Opwijk 1,261 Gambiet Opwijk 1
2,B,5,301,KOSK 2,301 KOSK 2
2,B,6,402,Jean Jaurès Gent 1,402 Jean Jaurès Gent 1
2,B,7,114,Mechelen 1,114 Mechelen 1
2,B,8,303,KBSK Brugge 2,303 KBSK Brugge 2
2,B,9,176,Rokade Westerlo 1,176 Rokade Westerlo 1
2,B,10,401,KGSRL 3,401 KGSRL 3
2,B,11,472,De Mercatel 1,472 De Mercatel 1
2,B,12,436,LSV-Chesspirant 1,436 LSV-Chesspirant 1
3,A,1,417,Pion-Aalst 1,417 Pion-Aalst 1
3,A,2,109,Borgerhout 3,109 Borgerhout 3
3,A,3,432,Wetteren 3,432 Wetteren 3
3,A,4,128,Beveren 1,128 Beveren 1
3,A,5,244,Brussels 1,244 Brussels 1
3,A,6,174,Brasschaat 1,174 Brasschaat 1
3,A,7,471,Pluspion Wachtebeke 2,471 Pluspion Wachtebeke 2
3,A,8,135,Geel 1,135 Geel 1
3,A,9,143,Boey Temse 1,143 Boey Temse 1
3,A,10,401,KGSRL 4,401 KGSRL 4
3,A,11,278,ICC 1,278 ICC 1
3,A,12,132,Oude God 1,132 Oude God 1
3,B,1,548,Caïssa Europe 2,548 Caïssa Europe 2
3,B,2,521,Tournai 1,521 Tournai 1
3,B,3,313,Waregem 1,313 Waregem 1
3,B,4,541,Leuze 1,541 Leuze 1
3,B,5,425,Dendermonde 1,425 Dendermonde 1
3,B,6,174,Brasschaat 2,174 Brasschaat 2
