division,index,pairingnr,input,idclub,name
1,,1,621 Standard Liège - TAL 1,621,Standard Liège - TAL 1
1,,2,607 KSK Rochade 1,607,KSK Rochade 1
1,,3,303 KBSK Brugge 1,303,KBSK Brugge 1
1,,4,231 Dolle Toren Leuven 1,231,Dolle Toren Leuven 1
1,,5,261 Gambiet Opwijk 1,261,Gambiet Opwijk 1
1,,6,471 SDP Wachtebeke 1,471,SDP Wachtebeke 1
1,,7,601 CRELEL Liège 1,601,CRELEL Liège 1
1,,8,230 Leuven Centraal 1,230,Leuven Centraal 1
1,,9,401 KGSRL 1,401,KGSRL 1
1,,10,432 Wetteren 1,432,Wetteren 1
1,,11,166 TSM Mechelen 1,166,TSM Mechelen 1
1,,12,109 Borgerhout 1,109,Borgerhout 1
2,A,1,401 KGSRL 2,401,KGSRL 2
2,A,2,402 Jean Jaurès Gent 1,402,Jean Jaurès Gent 1
2,A,3,303 KBSK Brugge 2,303,KBSK Brugge 2
2,A,4,301 KOSK Oostende 1,301,KOSK Oostende 1
2,A,5,436 LSV-Chesspirant 1,436,LSV-Chesspirant 1
2,A,6,114 Mechelen 1,114,Mechelen 1
2,A,7,176 Rokade Westerlo 1,176,Rokade Westerlo 1
2,A,8,472 SK de Mercatel 1,472,SK de Mercatel 1
2,A,9,174 Brasschaat 1,174,Brasschaat 1
2,A,10,432 Wetteren 2,432,Wetteren 2
2,A,11,548 Caissa Europe 1,548,Caissa Europe 1
2,A,12,124 Deurne 1,124,Deurne 1
2,B,1,239 Boitsfort 1,239,Boitsfort 1
2,B,2,607 KSK Rochade 2,607,KSK Rochade 2
2,B,3,901 Namur Echecs 1,901,Namur Echecs 1
2,B,4,201 CREB Bruxelles 1,201,CREB Bruxelles 1
2,B,5,501 CREC Charleroi 1,501,CREC Charleroi 1
2,B,6,226 Europchess 1,226,Europchess 1
2,B,7,401 KGSRL 3,401,KGSRL 3
2,B,8,514 MCC 1,514,MCC 1
2,B,9,278 Ixelles CC 1,278,Ixelles CC 1
2,B,10,209 The Belgian CC 1,209,The Belgian CC 1
2,B,11,604 KSK47-Eynatten 1,604,KSK47-Eynatten 1
2,B,12,207 2 Fous du Diogène 1,207,2 Fous du Diogène 1
3,A,1,621 Standard Liège - TAL 2,621,Standard Liège - TAL 2
3,A,2,607 KSK Rochade 3,607,KSK Rochade 3
3,A,3,135 Geel 1,135,Geel 1
3,A,4,231 Dolle Toren Leuven 2,231,Dolle Toren Leuven 2
3,A,5,627 Wirtzfeld 1,627,Wirtzfeld 1
3,A,6,601 CRELEL Liège 2,601,CRELEL Liège 2
3,A,7,601 CRELEL Liège 3,601,CRELEL Liège 3
3,A,8,230 Leuven Centraal 2,230,Leuven Centraal 2
3,A,9,618 Royal Echiquier Mosan 1,618,Royal Echiquier Mosan 1
3,A,10,708 NLS Lommel 1,708,NLS Lommel 1
3,A,11,604 KSK47-Eynatten 2,604,KSK47-Eynatten 2
3,A,12,622 Herve 1,622,Herve 1
3,B,1,239 Boitsfort 2,239,Boitsfort 2
3,B,2,511 EDC 1,511,EDC 1
3,B,3,548 Caissa Europe 2,548,Caissa Europe 2
3,B,4,952 CEW 1,952,CEW 1
3,B,5,261 Gambiet Opwijk 2,261,Gambiet Opwijk 2
3,B,6,541 Leuze-En-Hainaut 1,541,Leuze-En-Hainaut 1
3,B,7,226 Europchess 2,226,Europchess 2
3,B,8,244 Brussels 1,244,Brussels 1
3,B,9,278 Ixelles CC 2,278,Ixelles CC 2
3,B,10,209 The Belgian CC 2,209,The Belgian CC 2
3,B,11,228 Dworp 1,228,Dworp 1
3,B,12,109 Borgerhout 2,109,Borgerhout 2
3,C,1,239 Boitsfort 3,239,Boitsfort 3
3,C,2,194 ChessLooks Lier 1,194,ChessLooks Lier 1
3,C,3,132 SK Oude God 1,132,SK Oude God 1
3,C,4,128 Club 64 Beveren 1,128,Club 64 Beveren 1
3,C,5,703 Eisden/MSK-Dilsen 1,703,Eisden/MSK-Dilsen 1
3,C,6,114 Mechelen 2,114,Mechelen 2
3,C,7,425 Dendermonde 1,425,Dendermonde 1
3,C,8,244 Brussels 2,244,Brussels 2
3,C,9,174 Brasschaat 2,174,Brasschaat 2
3,C,10,432 Wetteren 3,432,Wetteren 3
3,C,11,166 TSM Mechelen 2,166,TSM Mechelen 2
3,C,12,109 Borgerhout 3,109,Borgerhout 3
3,D,1,301 KOSK Oostende 2,301,KOSK Oostende 2
3,D,2,313 KWSLE 1,313,KWSLE 1
3,D,3,303 KBSK Brugge 3,303,KBSK Brugge 3
3,D,4,430 Landegem 1,430,Landegem 1
3,D,5,436 LSV-Chesspirant 2,436,LSV-Chesspirant 2
3,D,6,471 SDP Wachtebeke 2,471,SDP Wachtebeke 2
3,D,7,302 KISK Ieper 1,302,KISK Ieper 1
3,D,8,521 Tournai 1,521,Tournai 1
3,D,9,422 MSV 1,422,MSV 1
3,D,10,462 Zottegem 1,462,Zottegem 1
3,D,11,401 KGSRL 4,401,KGSRL 4
3,D,12,417 Pion-Aalst 1,417,Pion-Aalst 1
4,A,1,714 Pelt 1,714,Pelt 1
4,A,2,607 KSK Rochade 4,607,KSK Rochade 4
4,A,3,135 Geel 2,135,Geel 2
4,A,4,231 Dolle Toren Leuven 3,231,Dolle Toren Leuven 3
4,A,5,703 Eisden/MSK-Dilsen 2,703,Eisden/MSK-Dilsen 2
4,A,6,601 CRELEL Liège 4,601,CRELEL Liège 4
4,A,7,230 Leuven Centraal 3,230,Leuven Centraal 3
4,A,8,727 Midden-Limburg 1,727,Midden-Limburg 1
4,A,9,278 Ixelles CC 3,278,Ixelles CC 3
4,A,10,121 TUSK 1,121,TUSK 1
4,A,11,166 TSM Mechelen 3,166,TSM Mechelen 3
4,A,12,124 Deurne 2,124,Deurne 2
4,B,1,130 Moretus 1,130,Moretus 1
4,B,2,401 KGSRL 5,401,KGSRL 5
4,B,3,132 SK Oude God 2,132,SK Oude God 2
4,B,4,201 CREB Bruxelles 2,201,CREB Bruxelles 2
4,B,5,195 SKilled Chezzmates  1,195,SKilled Chezzmates  1
4,B,6,114 Mechelen 3,114,Mechelen 3
4,B,7,230 Leuven Centraal 4,230,Leuven Centraal 4
4,B,8,260 Kapelle-op-den Bos 1,260,Kapelle-op-den Bos 1
4,B,9,278 Ixelles CC 4,278,Ixelles CC 4
4,B,10,143 Boey Temse 1,143,Boey Temse 1
4,B,11,166 TSM Mechelen 4,166,TSM Mechelen 4
4,B,12,124 Deurne 3,124,Deurne 3
4,C,1,230 Leuven Centraal 5,230,Leuven Centraal 5
4,C,2,607 KSK Rochade 5,607,KSK Rochade 5
4,C,3,901 Namur Echecs 2,901,Namur Echecs 2
4,C,4,712 Landen 1,712,Landen 1
4,C,5,627 Wirtzfeld 2,627,Wirtzfeld 2
4,C,6,601 CRELEL Liège 5,601,CRELEL Liège 5
4,C,7,609 Anthisnes 1,609,Anthisnes 1
4,C,8,727 Midden-Limburg 2,727,Midden-Limburg 2
4,C,9,618 Royal Echiquier Mosan 2,618,Royal Echiquier Mosan 2
4,C,10,811 Arlon 1,811,Arlon 1
4,C,11,909 Philippeville 1,909,Philippeville 1
4,C,12,810 Marche-en-Famenne 1,810,Marche-en-Famenne 1
4,D,1,460 Oudenaarde 1,460,Oudenaarde 1
4,D,2,521 Tournai 2,521,Tournai 2
4,D,3,303 KBSK Brugge 4,303,KBSK Brugge 4
4,D,4,301 KOSK Oostende 3,301,KOSK Oostende 3
4,D,5,548 Caissa Europe 3,548,Caissa Europe 3
4,D,6,340 Izegem 1,340,Izegem 1
4,D,7,302 KISK Ieper 2,302,KISK Ieper 2
4,D,8,401 KGSRL 6,401,KGSRL 6
4,D,9,309 KRST 1,309,KRST 1
4,D,10,307 Bredene 1,307,Bredene 1
4,D,11,364 Meense Leie Schakers 1,364,Meense Leie Schakers 1
4,D,12,304 Tielt 1,304,Tielt 1
4,E,1,436 LSV-Chesspirant 3,436,LSV-Chesspirant 3
4,E,2,401 KGSRL 7,401,KGSRL 7
4,E,3,132 SK Oude God 3,132,SK Oude God 3
4,E,4,410 St.-Niklaas 1,410,St.-Niklaas 1
4,E,5,261 Gambiet Opwijk 3,261,Gambiet Opwijk 3
4,E,6,471 SDP Wachtebeke 3,471,SDP Wachtebeke 3
4,E,7,418 VPTD 1,418,VPTD 1
4,E,8,472 SK de Mercatel 2,472,SK de Mercatel 2
4,E,9,278 Ixelles CC 5,278,Ixelles CC 5
4,E,10,465 SK Artevelde 1,465,SK Artevelde 1
4,E,11,462 Zottegem 2,462,Zottegem 2
4,E,12,109 Borgerhout 4,109,Borgerhout 4
4,F,1,548 Caissa Europe 4,548,Caissa Europe 4
4,F,2,961 Braine Échecs 1,961,Braine Échecs 1
4,F,3,233 DZD Halle 1,233,DZD Halle 1
4,F,4,525 CELB Anderlues 1,525,CELB Anderlues 1
4,F,5,401 KGSRL 8,401,KGSRL 8
4,F,6,226 Europchess 3,226,Europchess 3
4,F,7,229 Woluwe 1,229,Woluwe 1
4,F,8,244 Brussels 3,244,Brussels 3
4,F,9,278 Ixelles CC 6,278,Ixelles CC 6
4,F,10,230 Leuven Centraal 6,230,Leuven Centraal 6
4,F,11,228 Dworp 2,228,Dworp 2
4,F,12,207 2 Fous du Diogène 2,207,2 Fous du Diogène 2
4,G,1,438 Deinze 1,438,Deinze 1
4,G,2,402 Jean Jaurès Gent 2,402,Jean Jaurès Gent 2
4,G,3,401 KGSRL 9,401,KGSRL 9
4,G,4,430 Landegem 2,430,Landegem 2
4,G,5,436 LSV-Chesspirant 4,436,LSV-Chesspirant 4
4,G,6,340 Izegem 2,340,Izegem 2
4,G,7,475 Rapid Aalter 1,475,Rapid Aalter 1
4,G,8,472 SK de Mercatel 3,472,SK de Mercatel 3
4,G,9,465 SK Artevelde 2,465,SK Artevelde 2
4,G,10,432 Wetteren 4,432,Wetteren 4
4,G,11,462 Zottegem 3,462,Zottegem 3
4,G,12,304 Tielt 2,304,Tielt 2
4,H,1,551 HCC Jurbise 1,551,HCC Jurbise 1
4,H,2,607 KSK Rochade 6,607,KSK Rochade 6
4,H,3,901 Namur Echecs 3,901,Namur Echecs 3
4,H,4,525 CELB Anderlues 2,525,CELB Anderlues 2
4,H,5,501 CREC Charleroi 2,501,CREC Charleroi 2
4,H,6,601 CRELEL Liège 6,601,CRELEL Liège 6
4,H,7,962 CCBBE 1,962,CCBBE 1
4,H,8,514 MCC 2,514,MCC 2
4,H,9,548 Caissa Europe 5,548,Caissa Europe 5
4,H,10,902 CES 1,902,CES 1
4,H,11,909 Philippeville 2,909,Philippeville 2
4,H,12,952 CEW 2,952,CEW 2
5,A,1,239 Boitsfort 4,239,Boitsfort 4
5,A,2,961 Braine Échecs 2,961,Braine Échecs 2
5,A,3,238 Het Pientere Paard  1,238,Het Pientere Paard  1
5,A,4,231 Dolle Toren Leuven 4,231,Dolle Toren Leuven 4
5,A,5,261 Gambiet Opwijk 4,261,Gambiet Opwijk 4
5,A,6,114 Mechelen 4,114,Mechelen 4
5,A,7,229 Woluwe 2,229,Woluwe 2
5,A,8,230 Leuven Centraal 7,230,Leuven Centraal 7
5,A,9,278 Ixelles CC 7,278,Ixelles CC 7
5,A,10,952 CEW 3,952,CEW 3
5,A,11,202 Woluwe 1200 1,202,Woluwe 1200 1
5,A,12,207 2 Fous du Diogène 3,207,2 Fous du Diogène 3
5,B,1,301 KOSK Oostende 4,301,KOSK Oostende 4
5,B,2,313 KWSLE 2,313,KWSLE 2
5,B,3,303 KBSK Brugge 5,303,KBSK Brugge 5
5,B,4,128 Club 64 Beveren 2,128,Club 64 Beveren 2
5,B,5,401 KGSRL 10,401,KGSRL 10
5,B,6,351 Knokke Schaak 1,351,Knokke Schaak 1
5,B,7,475 Rapid Aalter 2,475,Rapid Aalter 2
5,B,8,472 SK de Mercatel 4,472,SK de Mercatel 4
5,B,9,422 MSV 2,422,MSV 2
5,B,10,465 SK Artevelde 3,465,SK Artevelde 3
5,B,11,364 Meense Leie Schakers 2,364,Meense Leie Schakers 2
5,B,12,460 Oudenaarde 2,460,Oudenaarde 2
5,C,1,436 LSV-Chesspirant 5,436,LSV-Chesspirant 5
5,C,2,230 Leuven Centraal 8,230,Leuven Centraal 8
5,C,3,132 SK Oude God 4,132,SK Oude God 4
5,C,4,128 Club 64 Beveren 3,128,Club 64 Beveren 3
5,C,5,410 St.-Niklaas 2,410,St.-Niklaas 2
5,C,6,114 Mechelen 5,114,Mechelen 5
5,C,7,425 Dendermonde 2,425,Dendermonde 2
5,C,8,260 Kapelle-op-den Bos 2,260,Kapelle-op-den Bos 2
5,C,9,174 Brasschaat 3,174,Brasschaat 3
5,C,10,143 Boey Temse 2,143,Boey Temse 2
5,C,11,166 TSM Mechelen 5,166,TSM Mechelen 5
5,C,12,130 Moretus 2,130,Moretus 2
5,D,1,230 Leuven Centraal 9,230,Leuven Centraal 9
5,D,2,961 Braine Échecs 3,961,Braine Échecs 3
5,D,3,901 Namur Echecs 4,901,Namur Echecs 4
5,D,4,231 Dolle Toren Leuven 5,231,Dolle Toren Leuven 5
