reason,division,pairingnr,boardnumber,guilty,opponent
forfait away,2A,12,2,Caïssa Europe 1,Europchess 1
forfait away,2A,3,7,KGSRL 2,KSK Rochade 2
forfait home,2A,11,1,Dolle Toren Leuven 1,Eisden/MSK-Dilsen 1
forfait home,3C,9,2,Tournai 1,Wetteren 2
forfait away,3C,1,2,KISK Ieper 1,LSV-Chesspirant 2
forfait away,4B,3,1,KASK 2,Moretus Hoboken 1
forfait away,4E,1,3,2 Fous Diogène 2,Braine Echecs 1
forfait away,4G,3,4,Borgerhout 3,Moretus Hoboken 2
forfait away,5B,5,1,HCC Jurbise 2,CREC Charleroi 3
forfait home,5B,11,2,Nivelles 1,Namur Echecs 5
forfait away,5F,3,4,Mechelen 5,Leuven Centraal 8
forfait away,5J,3,4,Mechelen 7,Gambiet Opwijk 5
forfait away,5K,1,4,Brasschaat 5,Chessmates 2
forfait away,5N,2,4,Borgerhout 4,Boey Temse 3
signature home missing,1,7,0,KBSK Brugge 1,TSM Mechelen 1
signature away missing,1,2,0,Wachtebeke 1,KSK Rochade 1
signature away missing,2A,5,0,Boitsfort 1,CREC Charleroi 1
signature home missing,2A,8,0,Echiquier Mosan 1,Wavre 1
signature home missing,2A,10,0,MCC 1,Rokade Westerlo 1
signature home too late,2B,12,0,Deurne 1,Zottegem 1
signature home missing,2B,7,0,KBSK Brugge 2,TSM Mechelen 2
signature home missing,2B,8,0,Pantin 1,KGSRL 3
signature away missing,2B,2,0,Borgerhout 1,The Belgian CC 1
signature home too late,3C,6,0,Leuze 1,Landegem 1
signature home missing,3C,7,0,KBSK Brugge 3,KWSLE 1
signature away missing,3C,5,0,KWSLE 1,KBSK Brugge 3
signature away missing,3C,4,0,KRST 1,De Mercatel 1
signature away missing,3D,5,0,KSK47-Eynatten 1,CRELEL 3
signature away missing,4A,5,0,KSK47-Eynatten 2,CRELEL 5
signature home missing,4A,8,0,Echiquier Mosan 2,T.A.L 621 2
signature home too late,4B,12,0,Deurne 2,ChessLooks Lier 1
signature away missing,4B,2,0,Borgerhout 2,Geel 2
signature home missing,4C,7,0,KBSK Brugge 4,Tournai 2
signature home missing,4D,9,0,KSK Rochade 6,Dworp 2
signature away missing,4D,3,0,Dworp 2,KSK Rochade 6
signature home too late,4G,12,0,Deurne 3,ChessLooks Lier 2
signature away missing,4G,3,0,Borgerhout 3,Moretus Hoboken 2
signature home missing,4H,7,0,KBSK Brugge 5,Pion-Aalst 2
signature home missing,5B,10,0,MCC 2,Caïssa Europe 3
signature away missing,5C,5,0,KSK47-Eynatten 3,Eisden/MSK-Dilsen 2
signature home missing,5C,8,0,Echiquier Mosan 3,Bastogne 1
signature away missing,5C,4,0,Bastogne 1,Echiquier Mosan 3
signature home missing,5D,7,0,KBSK Brugge 6,KWSLE 2
signature away missing,5D,5,0,KWSLE 2,KBSK Brugge 6
signature away missing,5D,3,0,MSV 2,KVSK Veurne 1
signature away missing,5E,12,0,Noorderwijk 1,CRELEL 9
signature home too late,5F,12,0,Deurne 4,Gambiet Opwijk 4
signature away missing,5F,2,0,Rokade Westerlo 3,Kapelle-op-den Bos 2
signature home too late,5G,12,0,Deurne 5,Beveren 2
signature away missing,5G,5,0,ChessLooks Lier 3,Oude God 5
signature home missing,5H,7,0,KBSK Brugge 7,KWSLE 3
signature away missing,5H,5,0,KWSLE 3,KBSK Brugge 7
signature home missing,5I,10,0,MCC 3,Brussels 5
signature away missing,5K,4,0,De Rode Loper 1,Leuven Centraal 11
signature home missing,5K,9,0,Moretus Hoboken 4,Mechelen 8
signature home missing,5L,8,0,Echiquier Mosan 4,Anthisnes 2
signature home missing,5L,11,0,CCBBE 1,Midden Limburg 5
signature away missing,5M,5,0,KWSLE 4,Artevelde 3
signature home missing,5N,9,0,Moretus Hoboken 5,KASK 3
signature away missing,5N,3,0,KASK 3,Moretus Hoboken 5
signature away missing,5N,2,0,Borgerhout 4,Boey Temse 3
signature away missing,5O,2,0,Rokade Westerlo 5,Kapelle-op-den Bos 3
signature home too late,5P,6,0,Leuze 3,Saint-Ghislain 2
signature home too late,5P,9,0,C.E.Sambrevillois 4,Tournai 3
signature home missing,5P,10,0,MCC 4,Leuven Centraal 14
rating order not correct,5L,6,3,CRELEL 10,###
Titular played in wrong series,5B,11,1,Nivelles 1,###
player 79278 already played in other team of series,3D,7,3,CRELEL 3,###
